	movie	rating	release	age_10	age_6	age_3	age_1
438	Cube Zero	5.7	2004-10-15	-1	39.416666666666664	33.9	24.7
439	La Dolce Vita	8.0	1960-02-05	35.25	33.766666666666666	30.53333333333333	35.4
440	Aliens vs Predator: Requiem	4.8	2007-12-25	35.300000000000004	29.51666666666667	35.26666666666667	31.1
445	Caché	7.0	2005-05-02	-1	57.916666666666664	56.699999999999996	55.3
451	Leaving Las Vegas	7.2	1995-10-27	-1	35.31666666666667	33.9	31.8
453	A Beautiful Mind	7.7	2001-12-11	41.260000000000005	42.266666666666666	39.93333333333334	37.7
454	Romeo + Juliet	6.7	1996-10-31	41.290000000000006	35.766666666666666	23.96666666666667	22.0
455	Bend It Like Beckham	6.2	2002-04-11	-1	33.38333333333333	22.766666666666666	26.5
462	Erin Brockovich	7.1	2000-03-17	45.78	41.699999999999996	42.76666666666667	32.4
467	The Hole	6.3	2001-04-20	-1	23.266666666666666	19.900000000000002	19.1
468	My Own Private Idaho	7.1	1991-10-17	-1	30.616666666666664	28.933333333333334	21.2
470	21 Grams	7.2	2003-09-06	-1	39.03333333333333	38.23333333333333	43.1
473	Pi	7.1	1998-07-10	-1	-1	39.53333333333334	30.1
475	Bonnie and Clyde	7.6	1967-07-18	-1	32.71666666666667	28.333333333333332	30.3
479	Shaft	5.6	2000-06-15	46.910000000000004	38.0	37.46666666666667	51.5
483	Wild at Heart	7.0	1990-05-01	41.839999999999996	35.35	28.099999999999998	26.3
488	The African Queen	7.4	1951-12-03	-1	39.199999999999996	46.73333333333333	52.0
489	Good Will Hunting	7.9	1997-12-05	-1	32.6	32.96666666666666	46.4
490	The Seventh Seal	8.0	1957-02-16	33.2	35.666666666666664	37.4	27.9
492	Being John Malkovich	7.3	1999-09-30	41.709999999999994	36.666666666666664	33.666666666666664	33.3
496	Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan	6.5	2006-11-01	-1	-1	45.4	35.1
497	The Green Mile	8.3	1999-12-10	43.52000000000001	44.95000000000001	43.866666666666674	43.4
500	Reservoir Dogs	8.1	1992-09-02	41.85	42.449999999999996	39.86666666666667	53.3
501	Grizzly Man	7.3	2005-08-12	-1	-1	-1	63.0
503	Poseidon	5.5	2006-05-12	34.239999999999995	38.166666666666664	49.56666666666667	55.2
504	Monster	7.0	2003-11-16	-1	44.300000000000004	39.86666666666667	28.3
506	Marnie	7.2	1964-07-09	45.25	41.699999999999996	31.600000000000005	34.5
508	Love Actually	7.0	2003-09-07	-1	42.23333333333333	43.53333333333333	53.8
